visit year month day ra_hour ra_min ra_sec dec_deg dec_min dec_sec
410929 2015 02 17.15939 10 19 38.442 -05 56 40.41
410985 2015 02 17.24529 10 19 37.616 -05 56 33.08
411035 2015 02 17.31416 10 19 36.969 -05 56 27.42
411069 2015 02 17.36113 10 19 36.501 -05 56 23.76
411269 2015 02 18.08845 10 19 29.672 -05 55 23.12
411319 2015 02 18.15593 10 19 29.003 -05 55 17.79
411369 2015 02 18.22410 10 19 28.333 -05 55 11.80
411420 2015 02 18.29439 10 19 27.664 -05 55 06.13
411470 2015 02 18.36322 10 19 26.994 -05 55 00.47
411671 2015 02 19.08521 10 19 20.166 -05 53 59.50
411772 2015 02 19.22231 10 19 18.850 -05 53 47.84
411822 2015 02 19.29123 10 19 18.203 -05 53 41.84
411872 2015 02 19.36031 10 19 17.534 -05 53 36.17
